feature name,description,unit,feature category,feature type,dataset name short,reflecting period,citation,data source,data source local
feat_soil_boart1000_soilgroup,Soil type class,-,soil,nominal,BOART1000,-,,https://geoportal.bgr.de/mapapps/resources/apps/geoportal/index.html?lang=de#/datasets/portal/DADB8BB6-4A7A-4CB7-908D-EA0767B068D7,J:/NUTZER/Noelscher.M/Studierende/Daten/soil_type/germany/time_invariant/shape/boart1000/data/boart1000_ob_v20.shp
feat_hydro_gwn_gwrecharge,Groundwater recharge rates,mm/m^2/a,hydro,numerical,GWN1000,1960 - 1990,,https://geoportal.bgr.de/mapapps/resources/apps/geoportal/index.html?lang=de#/datasets/portal/91DB02B4-48A2-4BE3-81E8-99F400108491,J:/NUTZER/Noelscher.M/Studierende/Daten/groundwater_recharge/germany/nearly_time_invariant/raster/bgr/data/GWN1000__3034_v1_raster1.tif
feat_soil_humus1000_orgcontent,Organic matter contents in top soils of Germany,% (mass),soil,ordinal,HUMUS1000,Jan 2006-Jul 2007,"BGR and SGD (2007): Organic matter contents in top soils of Germany 1:1,000,000 (HUMUS1000OB), Hannover, 2007. Digital map data. https://services.bgr.de/boden/humus1000ob, last access: 08.08.2022",https://www.bgr.bund.de/DE/Themen/Boden/Informationsgrundlagen/Bodenkundliche_Karten_Datenbanken/Themenkarten/HUMUS1000OB/humus1000ob_node.html,J:/NUTZER/Noelscher.M/Studierende/Daten/soil_humus_content/germany/time_invariant/shape/humus_content/data/humus1000_ob_v20.shp
feat_soil_gmk1000_geomorph,Geomorphographic class,-,soil,nominal,GMK1000,-,,https://geoportal.bgr.de/mapapps/resources/apps/geoportal/index.html?lang=en#/datasets/portal/60ab5e4e-9493-44b0-9cae-d9ce603de742,J:/NUTZER/Noelscher.M/Studierende/Daten/geomorphography/germany/time_invariant/raster/bgr/data/gmk1000_250.tif
feat_hydro_huek250_hydrogeounit,Hydrogeological unit,- (ID numbers),hydro,nominal,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_hydro_huek250_kf,Hydraulic conductivity,m/s,hydro,numerical,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_hydro_hyraum_hydrogeostruct,Hydrogeologically consistently structured regions,- (ID numbers),hydro,nominal,HYRAUM,-,"BGR and SGD (2015): Hydrogeological spatial structure of Germany (HYRAUM), Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. http://www.bgr.bund.de/hyraum, last access 21.08.2022",https://www.bgr.bund.de/DE/Themen/Wasser/Projekte/abgeschlossen/Beratung/Hyraum/hyraum_projektbeschr.html,J:/NUTZER/Noelscher.M/Studierende/Daten/hydrogeological_units/germany/time_invariant/shape/hyraum_v32_bgr/data/hyraum_tr__v32_poly.shp
feat_hydro_huek250_aquiferrockty,Rock type,-,hydro,nominal,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_hydro_huek250_aquiferporety,Type of pore space,-,hydro,nominal,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_hydro_huek250_aquiferconsolid,Consolidation,-,hydro,nominal,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_hydro_huek250_geochemrockty,Geochemical rock type,-,hydro,nominal,HUEK250,-,"BGR and SGD (2019): Hydrogeological Map of Germany 1:250,000 (HÜK250). Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/huek200 last access: 21.09.2022",https://www.bgr.bund.de/huek250,J:/PROJEKTE/Huek250/Produkte/Datenabgabe/huek250-klassisch/Produktcenter/Download/shp/huek250_v103/shp/huek250__25832_v103_poly.shp
feat_geol_guek200_geolunit,Geological unit,- (ID numbers),geol,nominal,GUEK200,-,,https://www.bgr.bund.de/DE/Themen/Sammlungen-Grundlagen/GG_geol_Info/Karten/Deutschland/GUEK200/guek200_inhalt.html,J:/NUTZER/Noelscher.M/Studierende/Daten/geological_map/germany/time_invariant/vector/guek250/data/guek250_Basislayer_poly_v03.shp
feat_soil_swr1000_percolrates,Mean Annual Rate of Percolation from the Soil in Germany.,mm/m^2/a,soil,numerical,SWR1000,1960 - 1990,"BGR and SGD (2003): Mean Annual Rate of Percolation from the Soil in Germany (SWR1000), Federal Institute for Geosciences and Natural Resources (BGR), Hannover. https://services.bgr.de/boden/swr1000, last access 08.08.2022",https://www.bgr.bund.de/DE/Themen/Boden/Informationsgrundlagen/Datenauswertung/Sickerwasserrate/Berechnung_Sickerwasserrate.html,J:/NUTZER/Noelscher.M/Studierende/Daten/seepage_rate/germany/nearly_time_invariant/raster/bgr/data/swr1000_250.tif
feat_soil_buek1000_assocsoilty,Standardized soil units,-,soil,nominal,BUEK1000,-,"BGR and SGD (2013): Soil Map of the Federal Republic of Germany 1:1,000,000 (BÜK 1000), Federal Institute for Geosciences and Natural Resources (BGR), Hannover. Digital map data. https://www.bgr.bund.de/buek1000, last acces 08.08.2022",https://www.bgr.bund.de/buek1000,J:/NUTZER/Noelscher.M/Studierende/Daten/soil_type/germany/time_invariant/shape/buek1000de_v21/data/buek1000de_v21.shp
feat_soil_buek250_soilunit,Soil units,- (ID numbers),soil,nominal,BUEK200,-,"BGR and SGD (2020): Soil Map of Germany 1:200,000 (BÜK200), Federal Institute for Geosciences and Natural Resources (BGR) and German State Geological Surveys (SGD), Hannover. Digital map data. https://www.bgr.bund.de/buek200, last access 21.08.2022",https://produktcenter.bgr.de/terraCatalog/OpenSearch.do?search=3E80DA1A-A9A7-45A3-9CC7-79796FE9ABA4&type=/Query/OpenSearch.do,J:/NUTZER/Noelscher.M/Studierende/Daten/soil_type/germany/time_invariant/shape/buek250/data/buek250_mg_utm_v55.shp
feat_topo_eumohp_lp1,Lateral position (LP) is a continuous measure that encodes the relative position of a point between the catchment boundary and the surface stream/river. It reflects wether the point is closer to the catchment boundary or closer to the river.,-,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/lateral_position/mohp_europe_europemainland_lp_hydrologicorder1_30m.tif
feat_topo_eumohp_lp2,Lateral position (LP) is a continuous measure that encodes the relative position of a point between the catchment boundary and the surface stream/river. It reflects wether the point is closer to the catchment boundary or closer to the river.,-,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/lateral_position/mohp_europe_europemainland_lp_hydrologicorder2_30m.tif
feat_topo_eumohp_lp3,Lateral position (LP) is a continuous measure that encodes the relative position of a point between the catchment boundary and the surface stream/river. It reflects wether the point is closer to the catchment boundary or closer to the river.,-,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/lateral_position/mohp_europe_europemainland_lp_hydrologicorder3_30m.tif
feat_topo_eumohp_lp4,Lateral position (LP) is a continuous measure that encodes the relative position of a point between the catchment boundary and the surface stream/river. It reflects wether the point is closer to the catchment boundary or closer to the river.,-,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/lateral_position/mohp_europe_europemainland_lp_hydrologicorder4_30m.tif
feat_topo_eumohp_lp5,Lateral position (LP) is a continuous measure that encodes the relative position of a point between the catchment boundary and the surface stream/river. It reflects wether the point is closer to the catchment boundary or closer to the river.,-,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/lateral_position/mohp_europe_europemainland_lp_hydrologicorder5_30m.tif
feat_topo_eumohp_dsd1,Distance between the catchment boundary and the surface stream/river via the current point of interest,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/divide_stream_distance/mohp_europe_europemainland_dsd_hydrologicorder1_30m.tif
feat_topo_eumohp_dsd2,Distance between the catchment boundary and the surface stream/river via the current point of interest,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/divide_stream_distance/mohp_europe_europemainland_dsd_hydrologicorder2_30m.tif
feat_topo_eumohp_dsd3,Distance between the catchment boundary and the surface stream/river via the current point of interest,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/divide_stream_distance/mohp_europe_europemainland_dsd_hydrologicorder3_30m.tif
feat_topo_eumohp_dsd4,Distance between the catchment boundary and the surface stream/river via the current point of interest,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/divide_stream_distance/mohp_europe_europemainland_dsd_hydrologicorder4_30m.tif
feat_topo_eumohp_dsd5,Distance between the catchment boundary and the surface stream/river via the current point of interest,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/divide_stream_distance/mohp_europe_europemainland_dsd_hydrologicorder5_30m.tif
feat_topo_eumohp_sd1,Distance from the point of interest to the nearest surface stream/river,m,topo,numerical,EU-MOHP,-,"Nölscher, Maximilian, Michael Mutz, and Stefan Broda. ""Multiorder hydrologic Position for Europe—a Set of Features for Machine Learning and analysis in Hydrology."" Scientific Data 9.1 (2022): 662.",https://www.hydroshare.org/resource/0d6999591fb048cab5ab71fcb690eadb/,D:/Data/github/macro_mohp_feature_test/macro_mohp_feature/output_data/stream_distance/mohp_europe_europemainland_sd_hydrologicorder1_30m.tif
